branch_id,target,file,function,line,col,blocked_side,source_line
1,bloaty,/src/bloaty/src/bloaty.cc,"bloaty::ItaniumDemangle[abi:cxx11](std::basic_string_view<char, std::char_traits<char> >, bloaty::DataSource)",168,7,T,"  if (source != DataSource::kShortSymbols &&"
2,bloaty,/src/bloaty/src/bloaty.cc,"bloaty::ItaniumDemangle[abi:cxx11](std::basic_string_view<char, std::char_traits<char> >, bloaty::DataSource)",175,7,T,"  if (absl::StartsWith(demangle_from, ""__Z"")) {"
3,bloaty,/src/bloaty/src/bloaty.cc,"bloaty::ItaniumDemangle[abi:cxx11](std::basic_string_view<char, std::char_traits<char> >, bloaty::DataSource)",181,9,T,"    if (absl::debugging_internal::Demangle(demangle_from.data(), demangled,"
4,bloaty,/src/bloaty/src/bloaty.cc,"bloaty::Rollup::SortAndAggregateRows(bloaty::RollupRow*, bloaty::Rollup const*, bloaty::Options const&, bool) const",493,10,T,"  while (i >= options.max_rows_per_level()) {"
5,bloaty,/src/bloaty/src/bloaty.cc,"bloaty::Rollup::SortAndAggregateRows(bloaty::RollupRow*, bloaty::Rollup const*, bloaty::Options const&, bool) const",508,43,T,"  if (std::abs(others_row.size.vm) > 0 || std::abs(others_row.size.file) > 0) {"
6,bloaty,/src/bloaty/src/bloaty.cc,"bloaty::Rollup::SortAndAggregateRows(bloaty::RollupRow*, bloaty::Rollup const*, bloaty::Options const&, bool) const",550,9,T,"    if (child_row.other_count > 0) {"
7,bloaty,/src/bloaty/src/bloaty.cc,"bloaty::RangeSink::IsVerboseForVMRange(unsigned long, unsigned long)",1103,7,T,"  if (vmsize == RangeMap::kUnknownSize) {"
8,bloaty,/src/bloaty/src/bloaty.cc,"bloaty::RangeSink::AddFileRange(char const*, std::basic_string_view<char, std::char_traits<char> >, unsigned long, unsigned long)",1182,11,T,"      if (!ok) {"
9,bloaty,/src/bloaty/src/bloaty.cc,"bloaty::RangeSink::AddRange(char const*, std::basic_string_view<char, std::char_traits<char> >, unsigned long, unsigned long, unsigned long, unsigned long)",1315,7,T,"  if (vmsize == RangeMap::kUnknownSize || filesize == RangeMap::kUnknownSize) {"
10,bloaty,/src/bloaty/src/bloaty.cc,"bloaty::RangeSink::AddRange(char const*, std::basic_string_view<char, std::char_traits<char> >, unsigned long, unsigned long, unsigned long, unsigned long)",1331,9,T,"    if (!translator_->vm_map.CoversRange(vmaddr, vmsize) ||"
11,bloaty,/src/bloaty/src/bloaty.cc,"bloaty::Bloaty::GetObjectFile(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const",1556,7,T,"  if (!object_file.get()) {"
12,bloaty,/src/bloaty/src/bloaty.cc,"bloaty::Bloaty::GetObjectFile(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const",1560,7,T,"  if (!object_file.get()) {"
13,bloaty,/src/bloaty/src/bloaty.cc,"bloaty::Bloaty::ScanAndRollupFile(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bloaty::Rollup*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*) const",1750,7,T,"  if (!build_id.empty()) {"
14,bloaty,/src/bloaty/src/dwarf.cc,"bloaty::dwarf::File::GetFieldByName(std::basic_string_view<char, std::char_traits<char> >)",197,7,T,"  if (name == ""aranges"") {"
15,bloaty,/src/bloaty/src/dwarf.cc,"bloaty::dwarf::File::GetFieldByName(std::basic_string_view<char, std::char_traits<char> >)",199,14,T,"  } else if (name == ""addr"") {"
16,bloaty,/src/bloaty/src/dwarf.cc,"bloaty::dwarf::File::GetFieldByName(std::basic_string_view<char, std::char_traits<char> >)",201,14,T,"  } else if (name == ""str"") {"
17,bloaty,/src/bloaty/src/dwarf.cc,"bloaty::dwarf::File::GetFieldByName(std::basic_string_view<char, std::char_traits<char> >)",203,14,T,"  } else if (name == ""str_offsets"") {"
18,bloaty,/src/bloaty/src/dwarf.cc,"bloaty::dwarf::File::GetFieldByName(std::basic_string_view<char, std::char_traits<char> >)",205,14,T,"  } else if (name == ""info"") {"
19,bloaty,/src/bloaty/src/dwarf.cc,"bloaty::dwarf::File::GetFieldByName(std::basic_string_view<char, std::char_traits<char> >)",207,14,T,"  } else if (name == ""types"") {"
20,bloaty,/src/bloaty/src/dwarf.cc,"bloaty::dwarf::File::GetFieldByName(std::basic_string_view<char, std::char_traits<char> >)",211,14,T,"  } else if (name == ""line"") {"
21,bloaty,/src/bloaty/src/dwarf.cc,"bloaty::dwarf::File::GetFieldByName(std::basic_string_view<char, std::char_traits<char> >)",213,14,T,"  } else if (name == ""loc"") {"
22,bloaty,/src/bloaty/src/dwarf.cc,"bloaty::dwarf::File::GetFieldByName(std::basic_string_view<char, std::char_traits<char> >)",215,14,T,"  } else if (name == ""pubnames"") {"
23,bloaty,/src/bloaty/src/dwarf.cc,"bloaty::dwarf::File::GetFieldByName(std::basic_string_view<char, std::char_traits<char> >)",217,14,T,"  } else if (name == ""pubtypes"") {"
24,bloaty,/src/bloaty/src/dwarf.cc,"bloaty::dwarf::File::GetFieldByName(std::basic_string_view<char, std::char_traits<char> >)",219,14,T,"  } else if (name == ""ranges"") {"
25,bloaty,/src/bloaty/src/dwarf.cc,"bloaty::dwarf::File::GetFieldByName(std::basic_string_view<char, std::char_traits<char> >)",221,14,T,"  } else if (name == ""rnglists"") {"
26,bloaty,/src/bloaty/src/dwarf.cc,"bloaty::ReadDWARFCompileUnits(bloaty::dwarf::File const&, bloaty::DualMap const&, bloaty::dwarf::CU const*, bloaty::RangeSink*)",657,7,F,"  if (!file.debug_info.size()) {"
27,bloaty,/src/bloaty/src/dwarf.cc,"bloaty::ReadDWARFInlines(bloaty::dwarf::File const&, bloaty::RangeSink*, bool)",718,7,F,"  if (!file.debug_info.size() || !file.debug_line.size()) {"
28,bloaty,/src/bloaty/src/elf.cc,"elf.cc:void bloaty::(anonymous namespace)::ElfFile::StructReader::Read<Elf32_Chdr, Elf64_Chdr, bloaty::(anonymous namespace)::ChdrMunger>(unsigned long, bloaty::(anonymous namespace)::ChdrMunger, std::basic_string_view<char, std::char_traits<char> >*, Elf64_Chdr*) const",193,11,T,"      if (elf_.is_64bit() && elf_.is_native_endian()) {"
