branch_id,target,file,function,line,col,blocked_side,source_line
1,curl,/src/curl/lib/altsvc.c,Curl_altsvc_parse,488,10,T,"      if(*p == '\""') {"
2,curl,/src/curl/lib/altsvc.c,Curl_altsvc_parse,499,12,F,        if(*p != ':') {
3,curl,/src/curl/lib/altsvc.c,Curl_altsvc_parse,502,39,T,          while(*p && (ISALNUM(*p) || (*p == '.') || (*p == '-')))
4,curl,/src/curl/lib/altsvc.c,Curl_altsvc_parse,505,14,T,          if(!len || (len >= MAX_ALTSVC_HOSTLEN)) {
5,curl,/src/curl/lib/altsvc.c,Curl_altsvc_parse,505,14,F,          if(!len || (len >= MAX_ALTSVC_HOSTLEN)) {
6,curl,/src/curl/lib/altsvc.c,Curl_altsvc_parse,519,12,T,        if(*p == ':') {
7,curl,/src/curl/lib/altsvc.c,Curl_altsvc_parse,522,34,F,"          if(port > USHRT_MAX || end_ptr == p || *end_ptr != '\""') {"
8,curl,/src/curl/lib/altsvc.c,Curl_altsvc_parse,530,12,F,"        if(*p++ != '\""')"
9,curl,/src/curl/lib/altsvc.c,Curl_altsvc_parse,537,14,T,          if(*p != ';')
10,curl,/src/curl/lib/altsvc.c,Curl_altsvc_parse,537,14,F,          if(*p != ';')
11,curl,/src/curl/lib/altsvc.c,Curl_altsvc_parse,543,14,T,          if(result) {
12,curl,/src/curl/lib/altsvc.c,Curl_altsvc_parse,547,17,F,          while(*p && ISBLANK(*p))
13,curl,/src/curl/lib/altsvc.c,Curl_altsvc_parse,549,14,F,          if(*p != '=')
14,curl,/src/curl/lib/altsvc.c,Curl_altsvc_parse,604,10,T,"      if(*p == ',') {"
15,curl,/src/curl/lib/altsvc.c,Curl_altsvc_parse,614,11,F,  } while(*p && (*p != ';') && (*p != '\n') && (*p != '\r'));
16,curl,/src/curl/lib/altsvc.c,Curl_altsvc_parse,614,32,F,  } while(*p && (*p != ';') && (*p != '\n') && (*p != '\r'));
17,curl,/src/curl/lib/altsvc.c,Curl_altsvc_parse,614,48,F,  } while(*p && (*p != ';') && (*p != '\n') && (*p != '\r'));
18,curl,/src/curl/lib/conncache.c,conncache.c:hashkey,149,8,F,    if(conn->bits.conn_to_host)
19,curl,/src/curl/lib/conncache.c,Curl_conncache_remove_conn,283,8,T,    if(lock) {
20,curl,/src/curl/lib/conncache.c,Curl_conncache_remove_conn,295,8,T,    if(lock) {
21,curl,/src/curl/lib/conncache.c,Curl_conncache_foreach,330,9,T,  while(he) {
22,curl,/src/curl/lib/conncache.c,conncache.c:conncache_find_first_connection,369,9,T,  while(he) {
23,curl,/src/curl/lib/conncache.c,Curl_conncache_close_all_connections,539,9,T,  while(conn) {
24,curl,/src/curl/lib/connect.c,Curl_getconnectinfo,1493,6,T,  if((data->state.lastconnect_id != -1) && (data->multi_easy || data->multi)) {
25,curl,/src/curl/lib/connect.c,Curl_socket,1679,6,T,  if(conn->scope_id && (addr->family == AF_INET6)) {
26,curl,/src/curl/lib/connect.c,Curl_conncontrol,1707,35,F,    ((ctrl == CONNCTRL_STREAM) && !(conn->handler->flags & PROTOPT_STREAM));
