id,branch_id,fuzzer,trial,seed_id,parent_seed_id,mutation_op,discovery_time_s
426,19,cmplog,1,32d10b449c4075ee,61255253715bb765,"BytesDeleteMutator,ByteNegMutator,BytesDeleteMutator,BytesRandSetMutator,BytesDeleteMutator",7757
427,19,cmplog,1,33867fc1c42dc542,2110ddc35803dab1,"TokenInsert,BytesDeleteMutator,ByteIncMutator,BytesExpandMutator",12913
428,19,cmplog,1,3a73779b519a0095,ce227220522abbc6,"QwordAddMutator,CrossoverReplaceMutator,QwordAddMutator,ByteAddMutator,TokenReplace",37489
429,19,cmplog,1,4cfa911e483390cc,64dd4bf601c46565,ByteDecMutator,13209
430,19,cmplog,1,b710f9e0a5a969d9,77b21c83c8a18dc4,"BytesSwapMutator,ByteAddMutator,WordInterestingMutator,ByteAddMutator,ByteInterestingMutator,BytesSetMutator",18750
431,19,cmplog,1,cf948dc66207fdd3,bf027a2eb1a07f82,"TokenReplace,WordInterestingMutator",13161
432,19,cmplog,1,d3cb6bfbb0737585,32d10b449c4075ee,BytesSetMutator,7775
513,19,value_profile_cmplog,1,00130f03a3b168ea,0686a82c216dfb54,"ByteFlipMutator,ByteDecMutator",30247
514,19,value_profile_cmplog,1,003dfc15a3784a38,8a1e8d969b53730f,"BytesRandSetMutator,WordInterestingMutator,ByteRandMutator,DwordInterestingMutator",30205
515,19,value_profile_cmplog,1,008d1e0f96e32bfb,218f7dd1c297ca48,"TokenInsert,QwordAddMutator",41286
516,19,value_profile_cmplog,1,00daa212d4205aba,ef992ea1dda9796f,ByteIncMutator,54442
517,19,value_profile_cmplog,1,02e0d342204f3b21,236202ac80aab2cb,"BytesInsertCopyMutator,TokenReplace",47179
518,19,value_profile_cmplog,1,02f4678cccf6837a,dda59153dc473c38,"BytesCopyMutator,BytesDeleteMutator,BytesInsertMutator,BytesRandSetMutator,QwordAddMutator,DwordAddMutator,BytesDeleteMutator",69671
519,19,value_profile_cmplog,1,03d5f4c9a9c52ce3,b4effbe2640ff47e,"ByteRandMutator,BytesExpandMutator,ByteFlipMutator,BitFlipMutator,BytesRandInsertMutator",41291
520,19,value_profile_cmplog,1,04491228155a37e8,aa0b59ddc2fb2a10,"BytesRandSetMutator,ByteIncMutator",41089
521,19,value_profile_cmplog,1,0587487622023411,f544ee049f1aacf6,CrossoverInsertMutator,53979
522,19,value_profile_cmplog,1,05f03d889b3d6018,a1aff3baa693dfd3,"BytesCopyMutator,BytesInsertMutator,BytesRandSetMutator,BytesInsertMutator,BytesSwapMutator",30234
433,21,cmplog,1,32d10b449c4075ee,61255253715bb765,"BytesDeleteMutator,ByteNegMutator,BytesDeleteMutator,BytesRandSetMutator,BytesDeleteMutator",7757
434,21,cmplog,1,33867fc1c42dc542,2110ddc35803dab1,"TokenInsert,BytesDeleteMutator,ByteIncMutator,BytesExpandMutator",12913
435,21,cmplog,1,3a73779b519a0095,ce227220522abbc6,"QwordAddMutator,CrossoverReplaceMutator,QwordAddMutator,ByteAddMutator,TokenReplace",37489
436,21,cmplog,1,4cfa911e483390cc,64dd4bf601c46565,ByteDecMutator,13209
437,21,cmplog,1,b710f9e0a5a969d9,77b21c83c8a18dc4,"BytesSwapMutator,ByteAddMutator,WordInterestingMutator,ByteAddMutator,ByteInterestingMutator,BytesSetMutator",18750
438,21,cmplog,1,cf948dc66207fdd3,bf027a2eb1a07f82,"TokenReplace,WordInterestingMutator",13161
439,21,cmplog,1,d3cb6bfbb0737585,32d10b449c4075ee,BytesSetMutator,7775
523,21,value_profile_cmplog,1,00130f03a3b168ea,0686a82c216dfb54,"ByteFlipMutator,ByteDecMutator",30247
524,21,value_profile_cmplog,1,003dfc15a3784a38,8a1e8d969b53730f,"BytesRandSetMutator,WordInterestingMutator,ByteRandMutator,DwordInterestingMutator",30205
525,21,value_profile_cmplog,1,008d1e0f96e32bfb,218f7dd1c297ca48,"TokenInsert,QwordAddMutator",41286
526,21,value_profile_cmplog,1,00daa212d4205aba,ef992ea1dda9796f,ByteIncMutator,54442
527,21,value_profile_cmplog,1,02e0d342204f3b21,236202ac80aab2cb,"BytesInsertCopyMutator,TokenReplace",47179
528,21,value_profile_cmplog,1,02f4678cccf6837a,dda59153dc473c38,"BytesCopyMutator,BytesDeleteMutator,BytesInsertMutator,BytesRandSetMutator,QwordAddMutator,DwordAddMutator,BytesDeleteMutator",69671
529,21,value_profile_cmplog,1,03d5f4c9a9c52ce3,b4effbe2640ff47e,"ByteRandMutator,BytesExpandMutator,ByteFlipMutator,BitFlipMutator,BytesRandInsertMutator",41291
530,21,value_profile_cmplog,1,04491228155a37e8,aa0b59ddc2fb2a10,"BytesRandSetMutator,ByteIncMutator",41089
531,21,value_profile_cmplog,1,0587487622023411,f544ee049f1aacf6,CrossoverInsertMutator,53979
532,21,value_profile_cmplog,1,05f03d889b3d6018,a1aff3baa693dfd3,"BytesCopyMutator,BytesInsertMutator,BytesRandSetMutator,BytesInsertMutator,BytesSwapMutator",30234
440,22,cmplog,1,32d10b449c4075ee,61255253715bb765,"BytesDeleteMutator,ByteNegMutator,BytesDeleteMutator,BytesRandSetMutator,BytesDeleteMutator",7757
