subject_id,target,A,B,delta_technique,n_A,n_B,mean_auc_A,mean_auc_B,delta_auc,p_auc,auc_dir,mean_final_A,mean_final_B,delta_final,p_final,final_dir,admissible,direction,n_branches,refreshed_at
1,bloaty,cmplog,naive,I2S,10,10,114465600.0,88210440.0,26255160.0,0.0002,A>B,1615.5,1091.9,523.6,0.0002,A>B,1,A>B,303,2026-05-29T09:17:37+00:00
2,bloaty,value_profile,naive,value_profile,10,10,92211300.0,88210440.0,4000860.0,0.014,A>B,1166.2,1091.9,74.3,0.014,A>B,1,A>B,112,2026-05-29T09:17:38+00:00
3,bloaty,value_profile_cmplog,cmplog,value_profile,10,10,141282000.0,114465600.0,26816400.0,0.0022,A>B,1958.7,1615.5,343.2,0.0081,A>B,1,A>B,396,2026-05-29T09:17:40+00:00
4,bloaty,value_profile_cmplog,value_profile,I2S,10,10,141282000.0,92211300.0,49070700.0,0.0002,A>B,1958.7,1166.2,792.5,0.0002,A>B,1,A>B,362,2026-05-29T09:17:41+00:00
5,bloaty,naive_ctx,naive,ctx_coverage,10,10,86954400.0,88210440.0,-1256040.0,0.0342,B>A,1081.5,1091.9,-10.4,0.1615,B>A,1,B>A,72,2026-05-29T09:17:43+00:00
6,bloaty,naive_ngram4,naive,ngram_coverage,10,10,87679260.0,88210440.0,-531180.0,0.2413,B>A,1098.8,1091.9,6.9,0.9397,A>B,0,B>A,67,2026-05-29T09:17:44+00:00
7,bloaty,mopt,naive,mopt_mutation,10,10,88352640.0,88210440.0,142200.0,0.8501,A>B,1106.7,1091.9,14.8,0.1116,A>B,0,A>B,72,2026-05-29T09:17:46+00:00
8,bloaty,minimizer,naive,calibrated_energy,10,10,89506620.0,88210440.0,1296180.0,0.4727,A>B,1153.9,1091.9,62.0,0.104,A>B,0,A>B,143,2026-05-29T09:17:48+00:00
9,bloaty,fast,minimizer,aflfast_rarity,10,10,88537320.0,89506620.0,-969300.0,0.7913,B>A,1135.0,1153.9,-18.9,0.9097,B>A,0,B>A,199,2026-05-29T09:17:49+00:00
10,bloaty,grimoire,cmplog,grimoire_structural,10,10,104986620.0,114465600.0,-9478980.0,0.0173,B>A,1439.9,1615.5,-175.6,0.0586,B>A,1,B>A,358,2026-05-29T09:17:51+00:00
11,lcms,cmplog,naive,I2S,10,10,125989380.0,89122680.0,36866700.0,0.0002,A>B,1589.7,1257.7,332.0,0.0002,A>B,1,A>B,343,2026-05-29T09:19:32+00:00
12,lcms,value_profile,naive,value_profile,10,10,103194540.0,89122680.0,14071860.0,0.0173,A>B,1337.8,1257.7,80.1,0.0002,A>B,1,A>B,117,2026-05-29T09:19:32+00:00
