subject_id,target,A,B,delta_technique,n_A,n_B,mean_auc_A,mean_auc_B,delta_auc,p_auc,auc_dir,mean_final_A,mean_final_B,delta_final,p_final,final_dir,admissible,direction,n_branches,refreshed_at
1,curl,cmplog,naive,I2S,10,10,495458820.0,394819740.0,100639080.0,0.0002,A>B,6314.9,5028.3,1286.6,0.0002,A>B,1,A>B,616,2026-05-30T11:02:05+00:00
2,curl,value_profile,naive,value_profile,10,10,397923300.0,394819740.0,3103560.0,0.2123,A>B,5115.6,5028.3,87.3,0.5706,A>B,0,A>B,306,2026-05-30T11:02:06+00:00
3,curl,value_profile_cmplog,cmplog,value_profile,10,10,516864240.0,495458820.0,21405420.0,0.089,A>B,6920.4,6314.9,605.5,0.0073,A>B,1,A>B,857,2026-05-30T11:02:07+00:00
4,curl,value_profile_cmplog,value_profile,I2S,10,10,516864240.0,397923300.0,118940940.0,0.0002,A>B,6920.4,5115.6,1804.8,0.0002,A>B,1,A>B,920,2026-05-30T11:02:08+00:00
5,curl,naive_ctx,naive,ctx_coverage,10,10,399263760.0,394819740.0,4444020.0,0.0757,A>B,5025.2,5028.3,-3.1,0.8501,B>A,0,A>B,270,2026-05-30T11:02:10+00:00
6,curl,naive_ngram4,naive,ngram_coverage,10,10,397108800.0,394819740.0,2289060.0,0.4274,A>B,5034.6,5028.3,6.3,1.0,A>B,0,A>B,272,2026-05-30T11:02:11+00:00
7,curl,mopt,naive,mopt_mutation,10,10,389338380.0,394819740.0,-5481360.0,0.0757,B>A,4954.4,5028.3,-73.9,0.0058,B>A,1,B>A,290,2026-05-30T11:02:12+00:00
8,curl,minimizer,naive,calibrated_energy,10,10,408104820.0,394819740.0,13285080.0,0.0028,A>B,5162.7,5028.3,134.4,0.0311,A>B,1,A>B,329,2026-05-30T11:02:13+00:00
9,curl,fast,minimizer,aflfast_rarity,10,10,419613120.0,408104820.0,11508300.0,0.1041,A>B,5640.0,5162.7,477.3,0.0172,A>B,1,A>B,574,2026-05-30T11:02:14+00:00
10,curl,grimoire,cmplog,grimoire_structural,10,10,502990560.0,495458820.0,7531740.0,0.1212,A>B,6555.6,6314.9,240.7,0.0211,A>B,1,A>B,760,2026-05-30T11:02:16+00:00
11,harfbuzz,cmplog,naive,I2S,10,10,384535260.0,329630040.0,54905220.0,0.0002,A>B,4979.4,4166.6,812.8,0.0002,A>B,1,A>B,1080,2026-05-30T11:08:20+00:00
12,harfbuzz,value_profile,naive,value_profile,10,10,347425380.0,329630040.0,17795340.0,0.0002,A>B,4451.6,4166.6,285.0,0.0002,A>B,1,A>B,456,2026-05-30T11:08:20+00:00
13,harfbuzz,value_profile_cmplog,cmplog,value_profile,10,10,476192340.0,384535260.0,91657080.0,0.0002,A>B,6588.0,4979.4,1608.6,0.0002,A>B,1,A>B,1584,2026-05-30T11:08:20+00:00
14,harfbuzz,value_profile_cmplog,value_profile,I2S,10,10,476192340.0,347425380.0,128766960.0,0.0002,A>B,6588.0,4451.6,2136.4,0.0002,A>B,1,A>B,1504,2026-05-30T11:08:21+00:00
15,harfbuzz,naive_ctx,naive,ctx_coverage,10,10,345264840.0,329630040.0,15634800.0,0.0003,A>B,4424.9,4166.6,258.3,0.0002,A>B,1,A>B,482,2026-05-30T11:08:21+00:00
16,harfbuzz,naive_ngram4,naive,ngram_coverage,10,10,330029640.0,329630040.0,399600.0,0.8501,A>B,4166.3,4166.6,-0.3,0.7913,B>A,0,A>B,423,2026-05-30T11:08:21+00:00
17,harfbuzz,mopt,naive,mopt_mutation,10,10,325992780.0,329630040.0,-3637260.0,0.162,B>A,4150.3,4166.6,-16.3,0.9097,B>A,0,B>A,433,2026-05-30T11:08:21+00:00
18,harfbuzz,minimizer,naive,calibrated_energy,10,10,342907200.0,329630040.0,13277160.0,0.001,A>B,4355.7,4166.6,189.1,0.001,A>B,1,A>B,474,2026-05-30T11:08:22+00:00
19,harfbuzz,fast,minimizer,aflfast_rarity,10,10,347213340.0,342907200.0,4306140.0,0.3847,A>B,4414.4,4355.7,58.7,0.5205,A>B,0,A>B,517,2026-05-30T11:08:22+00:00
20,harfbuzz,grimoire,cmplog,grimoire_structural,10,10,429978420.0,384535260.0,45443160.0,0.001,A>B,5615.8,4979.4,636.4,0.0006,A>B,1,A>B,1144,2026-05-30T11:08:22+00:00
21,openthread,cmplog,naive,I2S,10,10,250820100.0,239110920.0,11709180.0,0.0002,A>B,3057.9,2932.6,125.3,0.0007,A>B,1,A>B,101,2026-05-30T11:12:25+00:00
22,openthread,value_profile,naive,value_profile,10,10,241476300.0,239110920.0,2365380.0,0.3447,A>B,2976.8,2932.6,44.2,0.2725,A>B,0,A>B,84,2026-05-30T11:12:26+00:00
23,openthread,value_profile_cmplog,cmplog,value_profile,10,10,249682500.0,250820100.0,-1137600.0,0.1405,B>A,3042.6,3057.9,-15.3,0.2559,B>A,0,B>A,57,2026-05-30T11:12:26+00:00
24,openthread,value_profile_cmplog,value_profile,I2S,10,10,249682500.0,241476300.0,8206200.0,0.0006,A>B,3042.6,2976.8,65.8,0.0884,A>B,1,A>B,80,2026-05-30T11:12:26+00:00
25,openthread,naive_ctx,naive,ctx_coverage,10,10,237435120.0,239110920.0,-1675800.0,0.2413,B>A,2925.1,2932.6,-7.5,0.5202,B>A,0,B>A,83,2026-05-30T11:12:27+00:00
26,openthread,naive_ngram4,naive,ngram_coverage,10,10,240325200.0,239110920.0,1214280.0,0.4274,A>B,2946.1,2932.6,13.5,0.8796,A>B,0,A>B,84,2026-05-30T11:12:27+00:00
27,openthread,mopt,naive,mopt_mutation,10,10,240560820.0,239110920.0,1449900.0,0.1859,A>B,2952.5,2932.6,19.9,0.364,A>B,0,A>B,85,2026-05-30T11:12:27+00:00
