subject_id,branch_id,n_A_resolved,n_A_blocked,n_A_unreached,n_B_resolved,n_B_blocked,n_B_unreached,A_resolved_trials,A_blocked_trials,B_resolved_trials,B_blocked_trials,p_A_blocked,p_B_blocked,prob_div,avg_dur_A,avg_dur_B,dur_div,avg_hits_A,avg_hits_B,hit_div,hypothesis_label,template_id
1,1,7,3,0,0,0,10,"[1, 3, 4, 5, 6, 8, 10]","[2, 7, 9]",[],[],0.3,,-0.3,12.5,,-12.5,8.1,,8.1,,
1,2,2,5,3,0,0,10,"[3, 10]","[1, 4, 5, 6, 8]",[],[],0.7142857142857143,,-0.7142857142857143,7.0,,-7.0,3.142857142857143,,3.142857142857143,,
1,3,2,5,3,0,0,10,"[8, 10]","[1, 3, 4, 5, 6]",[],[],0.7142857142857143,,-0.7142857142857143,9.0,,-9.0,2.7142857142857144,,2.7142857142857144,,
1,4,6,1,3,0,0,10,"[3, 4, 5, 6, 8, 10]",[1],[],[],0.14285714285714285,,-0.14285714285714285,1.8571428571428572,,-1.8571428571428572,1.4285714285714286,,1.4285714285714286,,
1,5,5,2,3,0,0,10,"[1, 3, 6, 8, 10]","[4, 5]",[],[],0.2857142857142857,,-0.2857142857142857,4.428571428571429,,-4.428571428571429,7.0,,7.0,,
1,6,2,5,3,0,0,10,"[3, 10]","[1, 4, 5, 6, 8]",[],[],0.7142857142857143,,-0.7142857142857143,7.0,,-7.0,3.4285714285714284,,3.4285714285714284,,
1,7,1,1,8,0,0,10,[10],[3],[],[],0.5,,-0.5,10.0,,-10.0,0.5,,0.5,,
1,8,3,4,3,0,0,10,"[3, 8, 10]","[1, 4, 5, 6]",[],[],0.5714285714285714,,-0.5714285714285714,6.285714285714286,,-6.285714285714286,8.0,,8.0,,
1,9,2,1,7,0,0,10,"[8, 10]",[3],[],[],0.3333333333333333,,-0.3333333333333333,2.3333333333333335,,-2.3333333333333335,12.333333333333334,,12.333333333333334,,
1,10,2,1,7,0,0,10,"[3, 10]",[8],[],[],0.3333333333333333,,-0.3333333333333333,1.6666666666666667,,-1.6666666666666667,13.666666666666666,,13.666666666666666,,
1,11,1,1,8,0,0,10,[10],[3],[],[],0.5,,-0.5,7.5,,-7.5,2.5,,2.5,,
1,12,1,1,8,0,0,10,[10],[3],[],[],0.5,,-0.5,10.0,,-10.0,0.5,,0.5,,
1,13,1,1,8,0,0,10,[10],[3],[],[],0.5,,-0.5,3.5,,-3.5,11.5,,11.5,,
1,14,1,1,8,0,0,10,[10],[8],[],[],0.5,,-0.5,2.5,,-2.5,3.5,,3.5,,
1,15,1,1,8,0,0,10,[10],[8],[],[],0.5,,-0.5,2.5,,-2.5,5.0,,5.0,,
1,16,1,1,8,0,0,10,[10],[8],[],[],0.5,,-0.5,2.5,,-2.5,4.0,,4.0,,
1,17,1,1,8,0,0,10,[10],[8],[],[],0.5,,-0.5,2.5,,-2.5,2.5,,2.5,,
1,18,4,6,0,0,10,0,"[3, 7, 9, 10]","[1, 2, 4, 5, 6, 8]",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6,1.0,0.4,18.0,24.0,6.0,5.2,0.0,5.2,,
1,19,9,1,0,2,8,0,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",[6],"[2, 4]","[1, 3, 5, 6, 7, 8, 9, 10]",0.1,0.8,0.7000000000000001,8.9,23.3,14.4,44.8,1.0,43.8,,
1,20,9,1,0,2,8,0,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",[6],"[2, 4]","[1, 3, 5, 6, 7, 8, 9, 10]",0.1,0.8,0.7000000000000001,8.9,23.3,14.4,44.8,1.0,43.8,,
1,21,9,1,0,2,8,0,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",[6],"[2, 4]","[1, 3, 5, 6, 7, 8, 9, 10]",0.1,0.8,0.7000000000000001,8.9,23.3,14.4,44.8,1.0,43.8,,
1,22,9,1,0,1,9,0,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",[6],[2],"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.1,0.9,0.8,8.9,23.4,14.499999999999998,44.8,0.6,44.199999999999996,,
1,23,9,1,0,1,9,0,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",[6],[2],"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.1,0.9,0.8,8.9,23.4,14.499999999999998,44.8,0.6,44.199999999999996,,
1,24,0,0,10,1,3,6,[],[],[4],"[1, 7, 9]",,0.75,0.75,,12.75,12.75,,1.0,-1.0,,
1,25,2,8,0,3,7,0,"[6, 7]","[1, 2, 3, 4, 5, 8, 9, 10]","[1, 7, 9]","[2, 3, 4, 5, 6, 8, 10]",0.8,0.7,-0.10000000000000009,22.9,20.2,-2.6999999999999993,0.2,0.8,-0.6000000000000001,,
1,26,1,9,0,0,10,0,[3],"[1, 2, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9,1.0,0.09999999999999998,23.4,24.0,0.6000000000000014,0.2,0.0,0.2,,
1,27,1,9,0,0,10,0,[3],"[1, 2, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9,1.0,0.09999999999999998,23.4,24.0,0.6000000000000014,0.2,0.0,0.2,,
1,28,1,3,6,0,0,10,[5],"[1, 6, 10]",[],[],0.75,,-0.75,17.25,,-17.25,0.25,,0.25,,
1,29,4,6,0,0,0,10,"[1, 5, 6, 10]","[2, 3, 4, 7, 8, 9]",[],[],0.6,,-0.6,7.6,,-7.6,24.4,,24.4,,
1,30,2,2,6,0,0,10,"[5, 10]","[1, 6]",[],[],0.5,,-0.5,12.5,,-12.5,100.5,,100.5,,
1,31,1,3,6,0,0,10,[5],"[1, 6, 10]",[],[],0.75,,-0.75,14.0,,-14.0,16.25,,16.25,,
